custom.descrip,custom.categ,latimes.descrip,latimes.categ,water.hs.code,water.descrip,food.ndb.code,food.ndb.descrip,food.ndb.categ
Watermelon,Fruits and veggies,Watermelon,Fruits and vegetables,080711,Watermelons,09326,"Watermelon, raw",Fruits and Fruit Juices
Almonds,Nuts and Seeds,,,080212,"Almonds,fresh or dried,shelled or peeled",12061,"Nuts, almonds",Nut and Seed Products
Walnuts,Nuts and Seeds,,,080232,"Walnuts, fresh or dried, shelled or peeled",12155,"Nuts, walnuts, english",Nut and Seed Products
Hazelnuts,Nuts and Seeds,,,080222,"Hazelnuts or filberts, fresh or dried, shelled or peeled",12120,"Nuts, hazelnuts or filberts",Nut and Seed Products
Sunflower seeds,Nuts and Seeds,,,120600,"Sunflower seeds, whether or not broken",12036,"Seeds, sunflower seed kernels, dried",Nut and Seed Products
Pistachios,Nuts and Seeds,,,080250,"Pistachios, fresh or dried, whether or not shelled or peeled",12151,"Nuts, pistachio nuts, raw",Nut and Seed Products
Plums,Fruits and veggies,,,080940,"Plums and sloes, fresh",09279,"Plums, raw",Fruits and Fruit Juices
Cantaloupes,Fruits and veggies,,,080719,Other melons (inc.cantaloupes),09181,"Melons, cantaloupe, raw",Fruits and Fruit Juices
Dates,Fruits and veggies,,,080410,"Dates, fresh or dried",09421,"Dates, medjool",Fruits and Fruit Juices
Figs,Fruits and veggies,,,080420,"Figs, fresh or dried",09089,"Figs, raw",Fruits and Fruit Juices
Raisins,Fruits and veggies,,,080620,"Grapes, dried",09298,"Raisins, seedless",Fruits and Fruit Juices
Butter,Dairy and Egg,,,040510,Butter,01145,"Butter, without salt",Dairy and Egg Products
Yogurt,Dairy and Egg,,,040310,"Yogurt concentratd o not,sweetend o not,flavourd o contg fruit o cocoa",01117,"Yogurt, plain, low fat, 12 grams protein per 8 ounce",Dairy and Egg Products
Celery,Fruits and veggies,,,070940,"Celery, other than celeriac, fresh or chilled",11143,"Celery, raw",Vegetables and Vegetable Products
Sweet potatoes,Grains and Starch,,,071420,"Sweet potatoes, fresh or dried, whether or not sliced or pelleted, Sweet potatoes",11507,"Sweet potato, raw, unprepared",Vegetables and Vegetable Products
Olive oil,Fruits and veggies,,,150910,"Olive oil, virgin",04053,"Oil, olive, salad or cooking",Fats and Oils
Garlic,Fruits and veggies,,,070320,"Garlic, fresh or chilled",11215,"Garlic, raw",Vegetables and Vegetable Products
Quinoa,Grains and Starch,,,100890ac,Quinoa,20035,"Quinoa, uncooked",Cereal Grains and Pasta
Brown rice,Grains and Starch,,,100620,"Rice, husked (brown)",20036,"Rice, brown, long-grain, raw",Cereal Grains and Pasta
String beans,Fruits and veggies,,,070820_b,String beans,11052,"Beans, snap, green, raw",Vegetables and Vegetable Products
Kiwifruit,Fruits and veggies,,,081050,Kiwi fruit,09148,"Kiwifruit, green, raw",Fruits and Fruit Juices
Apricots,Fruits and veggies,,,080910,"Apricots, fresh",09021,"Apricots, raw",Fruits and Fruit Juices
Sweet corn,Grains and Starch,,,071040,"Sweet corn, frozen",11178,"Corn, sweet, yellow, frozen, kernels cut off cob, unprepared",Vegetables and Vegetable Products
Rolled oats,Grains and Starch,,,110412,"Oats, rolled or flaked grains",08120,"Cereals, oats, regular and quick, not fortified, dry",Breakfast Cereals
Olives,Fruits and veggies,,,070990aa,Olives,09193,"Olives, ripe, canned (small-extra large)",Fruits and Fruit Juices
